#{"t_start": 1775181760.2862568, "env_id": "None"}
r,l,t,success,task_phase
-364.717959,500,0.064651,False,ENROUTE
-490.488077,500,0.127878,False,ENROUTE
-483.058561,500,0.187686,False,ENROUTE
-353.137469,500,0.248006,False,ENROUTE
-451.888044,500,0.544227,False,ENROUTE
-354.534468,500,0.602261,False,ENROUTE
-479.371397,500,0.661184,False,ENROUTE
-466.630433,500,0.71898,False,ENROUTE
-395.418027,500,1.005755,False,ENROUTE
-427.346818,500,1.067564,False,ENROUTE
-430.606554,500,1.128901,False,ENROUTE
-345.991986,500,1.189994,False,ENROUTE
-200.028775,500,1.48787,False,ENROUTE
-206.130812,500,1.54933,False,ENROUTE
-447.012025,500,1.608793,False,ENROUTE
-239.123201,500,1.669368,False,ENROUTE
-432.283965,500,1.952887,False,ENROUTE
-172.790459,500,2.011246,False,ENROUTE
-380.261642,500,2.06847,False,ENROUTE
-207.609208,500,2.126003,False,ENROUTE
-344.170917,500,2.403736,False,ENROUTE
-391.639858,500,2.462084,False,ENROUTE
-181.177553,500,2.520419,False,ENROUTE
-239.941392,500,2.578451,False,ENROUTE
-395.480613,500,2.859168,False,ENROUTE
-195.843404,500,2.91727,False,ENROUTE
-297.696588,500,2.974931,False,ENROUTE
-185.240624,500,3.032918,False,ENROUTE
-251.076754,500,3.314413,False,ENROUTE
-181.733456,500,3.372811,False,ENROUTE
-266.440144,500,3.431599,False,ENROUTE
-168.970391,500,3.489529,False,ENROUTE
-144.910008,500,3.770893,False,ENROUTE
-125.427665,500,3.830739,False,ENROUTE
-41.291362,500,3.888589,False,ENROUTE
-136.483606,500,3.945931,False,ENROUTE
-146.607129,500,4.22944,False,ENROUTE
-115.700095,500,4.288201,False,ENROUTE
-149.996505,500,4.34595,False,ENROUTE
-161.225096,500,4.404462,False,ENROUTE
-98.818196,500,4.68511,False,ENROUTE
-108.449315,500,4.743953,False,ENROUTE
-75.992995,500,4.801423,False,ENROUTE
-73.002612,500,4.860282,False,ENROUTE
-117.478831,500,4.918695,False,ENROUTE
-27.239184,500,5.199872,False,ENROUTE
-63.466831,500,5.258321,False,ENROUTE
-80.476787,500,5.31672,False,ENROUTE
-40.967496,500,5.374474,False,ENROUTE
-65.702012,500,5.655131,False,ENROUTE
-329.664895,500,5.713289,False,ENROUTE
-81.098089,500,5.771082,False,ENROUTE
-112.809582,500,5.82948,False,ENROUTE
-103.934409,500,6.114965,False,ENROUTE
-67.87967,500,6.173263,False,ENROUTE
-49.347388,500,6.231391,False,ENROUTE
-48.49902,500,6.289741,False,ENROUTE
-67.795656,500,6.573375,False,ENROUTE
-171.8584,500,6.632104,False,ENROUTE
4.099164,500,6.690455,False,ENROUTE
22.202739,500,6.748847,False,ENROUTE
-103.480161,500,7.064509,False,ENROUTE
6.608661,500,7.125026,False,ENROUTE
-37.531133,500,7.185453,False,ENROUTE
-9.2171,500,7.244818,False,ENROUTE
-67.70889,500,7.552104,False,ENROUTE
-110.760557,500,7.613912,False,ENROUTE
-194.113845,500,7.675345,False,ENROUTE
-42.748339,500,7.744801,False,ENROUTE
-78.28647,500,8.036034,False,ENROUTE
-68.992668,500,8.094023,False,ENROUTE
-290.425241,500,8.153046,False,ENROUTE
46.347323,500,8.211615,False,ENROUTE
-71.178452,500,8.496791,False,ENROUTE
-384.647642,500,8.554705,False,ENROUTE
-29.941238,500,8.613006,False,ENROUTE
-129.972569,500,8.671639,False,ENROUTE
-186.248251,500,8.952495,False,ENROUTE
-66.9622,500,9.010492,False,ENROUTE
45.426031,180,9.031411,True,MISSION_COMPLETE
-134.534229,500,9.089263,False,ENROUTE
-80.076009,500,9.147653,False,ENROUTE
57.105547,292,9.406996,True,MISSION_COMPLETE
5.246624,500,9.465699,False,ENROUTE
-137.138784,500,9.523345,False,ENROUTE
-63.610011,500,9.582118,False,ENROUTE
-188.406833,500,9.640533,False,ENROUTE
-88.74693,500,9.92191,False,ENROUTE
-65.038028,500,10.019537,False,ENROUTE
-28.333324,500,10.079637,False,ENROUTE
-63.81643,500,10.138817,False,ENROUTE
-232.080847,500,10.4215,False,ENROUTE
-262.525276,500,10.479959,False,ENROUTE
-75.555176,500,10.538349,False,ENROUTE
-79.227776,500,10.596722,False,ENROUTE
-57.364776,500,10.876417,False,ENROUTE
-295.430051,500,10.933405,False,ENROUTE
-95.873805,500,10.99118,False,ENROUTE
-204.776446,500,11.048886,False,ENROUTE
-37.423657,500,11.329725,False,ENROUTE
-83.842077,500,11.388718,False,ENROUTE
-150.407041,500,11.447661,False,ENROUTE
-64.833296,500,11.506469,False,ENROUTE
-67.617064,500,11.788162,False,ENROUTE
-63.777683,500,11.846379,False,ENROUTE
-183.617938,500,11.904207,False,ENROUTE
-55.255662,500,11.961875,False,ENROUTE
-62.690463,500,12.240982,False,ENROUTE
-163.031911,500,12.298757,False,ENROUTE
-60.708619,500,12.357112,False,ENROUTE
-39.42842,500,12.415348,False,ENROUTE
-67.850031,500,12.703474,False,ENROUTE
-90.273662,500,12.762604,False,ENROUTE
-52.615207,500,12.822475,False,ENROUTE
-44.303764,500,12.881366,False,ENROUTE
-47.15964,500,13.164335,False,ENROUTE
18.79744,500,13.223785,False,ENROUTE
-81.495347,500,13.281146,False,ENROUTE
30.237756,500,13.339412,False,ENROUTE
-10.563129,500,13.621282,False,ENROUTE
-68.47574,500,13.679607,False,ENROUTE
-87.556073,500,13.738256,False,ENROUTE
-85.030683,500,13.796535,False,ENROUTE
-101.101069,500,14.078792,False,ENROUTE
-30.455428,500,14.138674,False,ENROUTE
-38.557395,500,14.197775,False,ENROUTE
-66.555941,500,14.256283,False,ENROUTE
26.23429,500,14.315224,False,ENROUTE
-31.688619,500,14.600847,False,ENROUTE
-48.865163,500,14.659715,False,ENROUTE
-39.774294,500,14.718205,False,ENROUTE
-54.341502,500,14.776238,False,ENROUTE
-6.7911,500,15.06014,False,ENROUTE
-60.921359,500,15.117685,False,ENROUTE
23.925655,500,15.176498,False,ENROUTE
-26.561843,500,15.235621,False,ENROUTE
-159.136184,500,15.516497,False,ENROUTE
-41.198006,500,15.574823,False,ENROUTE
-71.025794,500,15.633306,False,ENROUTE
-61.034154,500,15.691142,False,ENROUTE
-62.044945,500,15.973978,False,ENROUTE
-88.275019,500,16.032785,False,ENROUTE
-70.800676,500,16.092264,False,ENROUTE
19.190297,500,16.151132,False,ENROUTE
-83.76085,500,16.432909,False,ENROUTE
-92.168043,500,16.491423,False,ENROUTE
-91.502485,500,16.54961,False,ENROUTE
-102.106454,500,16.607797,False,ENROUTE
-62.945837,500,16.897948,False,ENROUTE
-56.169152,500,16.957907,False,ENROUTE
-186.156078,500,17.017227,False,ENROUTE
-161.225528,500,17.078375,False,ENROUTE
-4.428463,500,17.367472,False,ENROUTE
-26.130406,500,17.428414,False,ENROUTE
9.519889,500,17.486222,False,ENROUTE
-25.438459,500,17.544277,False,ENROUTE
-152.311062,500,17.830213,False,ENROUTE
-37.816624,500,17.891085,False,ENROUTE
-31.430134,500,17.950521,False,ENROUTE
-10.228128,500,18.009545,False,ENROUTE
-66.459481,500,18.292126,False,ENROUTE
5.181586,500,18.351298,False,ENROUTE
-71.300032,500,18.410193,False,ENROUTE
-81.317722,500,18.469163,False,ENROUTE
-54.912911,500,18.753151,False,ENROUTE
-86.225506,500,18.812642,False,ENROUTE
-23.352241,500,18.872091,False,ENROUTE
-67.003513,500,18.930755,False,ENROUTE
-104.820946,500,19.309039,False,ENROUTE
-43.851696,500,19.371839,False,ENROUTE
-33.272499,500,19.435216,False,ENROUTE
13.653919,500,19.496538,False,ENROUTE
-47.201509,500,19.556568,False,ENROUTE
-68.841432,500,19.846067,False,ENROUTE
36.193021,500,19.905843,False,ENROUTE
3.999325,500,19.965993,False,ENROUTE
-72.20841,500,20.025039,False,ENROUTE
-46.400872,500,20.312067,False,ENROUTE
-50.822338,500,20.371948,False,ENROUTE
-63.521374,500,20.43148,False,ENROUTE
-81.300724,500,20.490396,False,ENROUTE
-55.195571,500,20.777176,False,ENROUTE
-29.282941,500,20.837249,False,ENROUTE
15.198022,500,20.897257,False,ENROUTE
-119.68234,500,20.956456,False,ENROUTE
-28.064427,500,21.246792,False,ENROUTE
-58.415855,500,21.306898,False,ENROUTE
-8.073855,500,21.365845,False,ENROUTE
16.836939,500,21.425143,False,ENROUTE
-43.561402,500,21.709909,False,ENROUTE
-18.038304,500,21.768973,False,ENROUTE
0.947547,500,21.827749,False,ENROUTE
5.187138,500,21.88694,False,ENROUTE
-31.25937,500,22.176653,False,ENROUTE
-51.883019,500,22.235668,False,ENROUTE
-3.851873,500,22.296782,False,ENROUTE
-23.513798,500,22.357056,False,ENROUTE
-7.974828,500,22.647028,False,ENROUTE
-71.033616,500,22.70576,False,ENROUTE
-27.982471,500,22.765358,False,ENROUTE
-69.495203,500,22.824686,False,ENROUTE
-14.483386,500,23.158416,False,ENROUTE
-22.944736,500,23.21788,False,ENROUTE
-33.160668,500,23.277514,False,ENROUTE
-4.08475,500,23.337479,False,ENROUTE
-85.443121,500,23.632086,False,ENROUTE
-58.462272,500,23.692841,False,ENROUTE
10.7085,500,23.750806,False,ENROUTE
-186.194839,500,23.809328,False,ENROUTE
-54.316672,500,24.098848,False,ENROUTE
-27.033097,500,24.161942,False,ENROUTE
-45.229093,500,24.221634,False,ENROUTE
-36.857017,500,24.2813,False,ENROUTE
-52.91799,500,24.34016,False,ENROUTE
-49.220586,500,24.625606,False,ENROUTE
-32.521361,500,24.683005,False,ENROUTE
-106.486026,500,24.741346,False,ENROUTE
-51.609534,500,24.798593,False,ENROUTE
-80.216587,500,25.082795,False,ENROUTE
15.653085,500,25.140967,False,ENROUTE
-84.673803,500,25.199306,False,ENROUTE
-103.091188,500,25.25601,False,ENROUTE
-51.284772,500,25.580944,False,ENROUTE
-2.030358,500,25.639044,False,ENROUTE
-57.194751,500,25.697437,False,ENROUTE
-92.947092,500,25.756778,False,ENROUTE
-32.300381,500,26.072542,False,ENROUTE
-26.114134,500,26.131299,False,ENROUTE
-154.73109,500,26.19082,False,ENROUTE
-26.884846,500,26.250008,False,ENROUTE
-112.151887,500,26.537441,False,ENROUTE
-7.930104,500,26.595165,False,ENROUTE
-42.132703,500,26.653746,False,ENROUTE
-35.074382,500,26.712623,False,ENROUTE
-25.70787,500,27.020981,False,ENROUTE
-29.807443,500,27.079201,False,ENROUTE
-88.821206,500,27.13843,False,ENROUTE
44.007261,500,27.198299,False,ENROUTE
3.660474,500,27.483941,False,ENROUTE
-146.305331,500,27.543229,False,ENROUTE
-4.539215,500,27.602359,False,ENROUTE
-41.871457,500,27.659995,False,ENROUTE
37.244431,500,27.943632,False,ENROUTE
-63.745082,500,28.003022,False,ENROUTE
-24.623841,500,28.061795,False,ENROUTE
-7.981318,500,28.118926,False,ENROUTE
42.541413,500,28.401347,False,ENROUTE
-31.97822,500,28.460552,False,ENROUTE
-65.722473,500,28.519027,False,ENROUTE
-68.778021,500,28.577544,False,ENROUTE
-2.990588,500,28.858894,False,ENROUTE
-64.736189,500,28.917594,False,ENROUTE
-85.87177,500,28.97671,False,ENROUTE
-106.96171,500,29.033843,False,ENROUTE
18.561747,243,29.062323,True,MISSION_COMPLETE
-68.955871,500,29.354046,False,ENROUTE
19.714298,500,29.41351,False,ENROUTE
-122.477912,500,29.472179,False,ENROUTE
-76.407504,500,29.531491,False,ENROUTE
-73.238933,500,29.814522,False,ENROUTE
-53.523298,500,29.874359,False,ENROUTE
-96.778804,500,29.932516,False,ENROUTE
-25.585636,500,29.989697,False,ENROUTE
-70.784502,500,30.271396,False,ENROUTE
-146.577108,500,30.330376,False,ENROUTE
-43.46535,500,30.389368,False,ENROUTE
-72.981669,500,30.447132,False,ENROUTE
-132.126292,500,30.72975,False,ENROUTE
-56.304009,500,30.7895,False,ENROUTE
-62.228536,500,30.849087,False,ENROUTE
-58.519719,500,30.908365,False,ENROUTE
1.635527,500,31.191931,False,ENROUTE
-26.328225,500,31.251251,False,ENROUTE
10.311652,500,31.308671,False,ENROUTE
32.707197,500,31.365616,False,ENROUTE
20.239184,500,31.421723,False,ENROUTE
-13.670009,500,31.701353,False,ENROUTE
-38.553596,500,31.759969,False,ENROUTE
-22.963821,500,31.818904,False,ENROUTE
-61.704083,500,31.877795,False,ENROUTE
59.241886,500,32.159685,False,ENROUTE
10.675277,500,32.217576,False,ENROUTE
3.727056,500,32.276065,False,ENROUTE
-4.968037,500,32.334416,False,ENROUTE
-19.891954,500,32.614203,False,ENROUTE
-10.710047,500,32.67194,False,ENROUTE
3.210248,500,32.732792,False,ENROUTE
10.736833,500,32.791406,False,ENROUTE
-9.005249,500,33.070522,False,ENROUTE
-73.376706,500,33.126943,False,ENROUTE
17.644348,500,33.1835,False,ENROUTE
-14.548807,500,33.241897,False,ENROUTE
-45.952,500,33.523482,False,ENROUTE
-25.109728,500,33.581681,False,ENROUTE
-48.320382,500,33.639566,False,ENROUTE
102.838933,463,33.693378,True,MISSION_COMPLETE
-34.213304,500,33.971381,False,ENROUTE
30.78499,282,34.003556,True,MISSION_COMPLETE
56.933195,500,34.060109,False,ENROUTE
64.246672,500,34.117207,False,ENROUTE
40.472966,500,34.178097,False,ENROUTE
-22.222793,500,34.466352,False,ENROUTE
9.50659,500,34.524788,False,ENROUTE
45.155137,500,34.583406,False,ENROUTE
-83.193153,500,34.642183,False,ENROUTE
-39.302237,500,34.928914,False,ENROUTE
-106.742138,500,34.986847,False,ENROUTE
-12.759027,500,35.045997,False,ENROUTE
-23.109842,500,35.104786,False,ENROUTE
-166.099661,500,35.432289,False,ENROUTE
-49.419427,500,35.492801,False,ENROUTE
-105.247179,500,35.551473,False,ENROUTE
44.524432,500,35.609566,False,ENROUTE
-19.553142,500,35.893713,False,ENROUTE
-62.142486,500,35.952648,False,ENROUTE
-157.417525,500,36.010674,False,ENROUTE
-2.55416,500,36.069575,False,ENROUTE
-73.964223,500,36.354448,False,ENROUTE
-98.996323,500,36.413839,False,ENROUTE
42.9048,500,36.47205,False,ENROUTE
-47.266717,500,36.53095,False,ENROUTE
2.273347,500,36.810747,False,ENROUTE
72.521409,279,36.843927,True,MISSION_COMPLETE
-101.974232,500,36.902493,False,ENROUTE
7.78971,500,36.960148,False,ENROUTE
-11.069836,500,37.018969,False,ENROUTE
-55.059489,500,37.300833,False,ENROUTE
5.979373,500,37.359447,False,ENROUTE
-38.929022,500,37.417463,False,ENROUTE
-31.641724,500,37.475773,False,ENROUTE
6.481064,500,37.757036,False,ENROUTE
-33.100466,500,37.81549,False,ENROUTE
-93.991283,500,37.873412,False,ENROUTE
-66.202303,500,37.930549,False,ENROUTE
-22.486509,500,38.21276,False,ENROUTE
