#{"t_start": 1775182322.179841, "env_id": "None"}
r,l,t,success,task_phase
-48.631458,191,0.818909,False,TAKEOFF_ROLL
-34.958271,149,1.425402,False,INITIAL_CLIMB
-21.44,69,1.702012,False,TAKEOFF_ROLL
-61.54045,205,2.47999,False,TAKEOFF_ROLL
-42.733061,214,3.29465,False,TAKEOFF_ROLL
-24.920942,46,3.464719,False,TAKEOFF_ROLL
-28.396465,400,5.116872,False,TAKEOFF_ROLL
-38.34643,279,6.212028,False,TAKEOFF_ROLL
-34.841075,61,6.440313,False,TAKEOFF_ROLL
-40.229806,74,6.710979,False,TAKEOFF_ROLL
-19.129765,125,7.156029,False,TAKEOFF_ROLL
-42.919572,226,8.007041,False,TAKEOFF_ROLL
-19.136671,180,8.651224,False,TAKEOFF_ROLL
-19.106972,223,9.441196,False,TAKEOFF_ROLL
-44.505462,181,10.088933,False,TAKEOFF_ROLL
-68.141951,342,11.366856,False,ROTATE
-37.91799,159,11.924926,False,TAKEOFF_ROLL
-38.539179,124,12.367452,False,ROTATE
-50.331736,222,13.257578,False,ROTATE
-52.096449,228,14.148605,False,TAKEOFF_ROLL
-49.87873,261,15.30446,False,TAKEOFF_ROLL
-20.885886,77,15.606074,False,INITIAL_CLIMB
-62.313441,210,16.420508,False,ROTATE
-31.775812,117,16.910826,False,TAKEOFF_ROLL
-113.036597,353,18.364875,False,ROTATE
-3.493282,100,18.924933,False,TAKEOFF_ROLL
-14.007606,76,19.240369,False,TAKEOFF_ROLL
-25.758772,170,19.860631,False,TAKEOFF_ROLL
-20.69967,166,20.544722,False,TAKEOFF_ROLL
-3.987939,244,21.425802,False,INITIAL_CLIMB
-1.984635,356,22.709655,False,INITIAL_CLIMB
-15.534179,44,22.871482,False,TAKEOFF_ROLL
-4.311892,137,23.363574,False,TAKEOFF_ROLL
-16.738635,67,23.604969,False,TAKEOFF_ROLL
5.773902,106,23.997644,False,INITIAL_CLIMB
-7.530876,279,25.001624,False,INITIAL_CLIMB
-3.701121,50,25.1808,False,INITIAL_CLIMB
-16.248292,57,25.385021,False,TAKEOFF_ROLL
-14.297937,71,25.638349,False,TAKEOFF_ROLL
-11.514026,54,25.831838,False,TAKEOFF_ROLL
-9.829708,51,26.015403,False,TAKEOFF_ROLL
-13.541699,49,26.189354,False,TAKEOFF_ROLL
-10.274105,44,26.346107,False,TAKEOFF_ROLL
5.134376,233,27.20472,False,INITIAL_CLIMB
-14.851695,56,27.416543,False,TAKEOFF_ROLL
-9.436767,46,27.577227,False,TAKEOFF_ROLL
-25.520364,152,28.132236,False,ROTATE
-1.394341,219,28.988084,False,INITIAL_CLIMB
-13.197395,43,29.158486,False,TAKEOFF_ROLL
-21.46324,135,29.705388,False,TAKEOFF_ROLL
-14.741782,60,29.925574,False,TAKEOFF_ROLL
-14.835595,112,30.363372,False,TAKEOFF_ROLL
-14.926196,67,30.605423,False,TAKEOFF_ROLL
-25.019735,112,31.003658,False,TAKEOFF_ROLL
-12.436588,60,31.214513,False,TAKEOFF_ROLL
-22.716236,117,31.639617,False,TAKEOFF_ROLL
-21.16107,108,32.070356,False,TAKEOFF_ROLL
-13.777461,52,32.263084,False,TAKEOFF_ROLL
-28.17992,101,32.631916,False,TAKEOFF_ROLL
-24.01133,100,33.007111,False,TAKEOFF_ROLL
-21.606813,95,33.358189,False,TAKEOFF_ROLL
-21.659999,100,33.729228,False,TAKEOFF_ROLL
-25.373362,95,34.111696,False,TAKEOFF_ROLL
-20.596051,95,34.458987,False,TAKEOFF_ROLL
-25.949286,97,34.843746,False,TAKEOFF_ROLL
-23.305675,89,35.185577,False,TAKEOFF_ROLL
-17.602633,92,35.504374,False,TAKEOFF_ROLL
-22.51542,90,35.815718,False,ROTATE
-17.174172,88,36.10835,False,TAKEOFF_ROLL
-22.377663,88,36.402478,False,TAKEOFF_ROLL
-18.570075,89,36.694335,False,ROTATE
-12.743124,87,37.001917,False,ROTATE
-9.805802,90,37.302231,False,TAKEOFF_ROLL
-16.199313,90,37.611867,False,ROTATE
0.695982,118,38.002133,False,INITIAL_CLIMB
-0.736872,117,38.38921,False,INITIAL_CLIMB
5.77007,148,38.884053,False,INITIAL_CLIMB
-2.058769,123,39.297603,False,INITIAL_CLIMB
11.945758,139,39.749035,False,INITIAL_CLIMB
0.967003,135,40.210593,False,INITIAL_CLIMB
7.895939,140,40.713,False,TAKEOFF_ROLL
23.760005,167,41.354514,False,INITIAL_CLIMB
17.132705,210,42.112139,False,INITIAL_CLIMB
31.634879,189,42.789139,False,INITIAL_CLIMB
28.126129,176,43.438594,False,INITIAL_CLIMB
36.806976,229,44.337943,False,INITIAL_CLIMB
25.535326,214,45.107738,False,INITIAL_CLIMB
37.610763,209,45.865513,False,INITIAL_CLIMB
40.254517,195,46.563859,False,INITIAL_CLIMB
34.074251,204,47.293424,False,INITIAL_CLIMB
32.896659,255,48.206581,False,INITIAL_CLIMB
25.473631,275,49.199515,False,TAKEOFF_ROLL
47.464981,360,50.510448,False,TAKEOFF_ROLL
31.077511,364,51.801527,False,TAKEOFF_ROLL
38.397137,277,52.810782,False,TAKEOFF_ROLL
62.608421,400,54.267259,False,TAKEOFF_ROLL
26.437614,400,55.685272,False,TAKEOFF_ROLL
39.480519,400,57.208779,False,TAKEOFF_ROLL
57.944389,400,58.565927,False,TAKEOFF_ROLL
71.554655,400,59.883143,False,TAKEOFF_ROLL
77.303044,400,61.54313,False,TAKEOFF_ROLL
79.042168,400,63.013984,False,TAKEOFF_ROLL
74.063737,400,64.461222,False,TAKEOFF_ROLL
80.703821,400,65.818859,False,TAKEOFF_ROLL
81.058053,400,67.243529,False,TAKEOFF_ROLL
80.209416,400,68.62176,False,TAKEOFF_ROLL
82.959819,400,70.012535,False,TAKEOFF_ROLL
82.468319,400,71.423562,False,TAKEOFF_ROLL
80.472508,400,72.879615,False,TAKEOFF_ROLL
75.739994,400,74.226045,False,TAKEOFF_ROLL
74.75171,400,75.849525,False,TAKEOFF_ROLL
82.608616,400,77.273958,False,TAKEOFF_ROLL
85.077742,400,78.683275,False,TAKEOFF_ROLL
83.569513,400,80.091888,False,TAKEOFF_ROLL
81.738388,400,81.578147,False,TAKEOFF_ROLL
85.521823,400,83.04568,False,TAKEOFF_ROLL
91.737278,400,84.527162,False,TAKEOFF_ROLL
94.093895,400,85.925309,False,TAKEOFF_ROLL
94.817946,400,87.319401,False,TAKEOFF_ROLL
95.750604,400,88.798553,False,TAKEOFF_ROLL
100.775906,400,90.395554,False,TAKEOFF_ROLL
101.92288,400,91.911315,False,TAKEOFF_ROLL
106.287162,400,93.441783,False,TAKEOFF_ROLL
108.659722,400,94.950467,False,TAKEOFF_ROLL
108.328105,400,96.378929,False,TAKEOFF_ROLL
109.868747,400,97.76956,False,TAKEOFF_ROLL
106.976266,400,99.158094,False,TAKEOFF_ROLL
105.211884,400,100.549193,False,TAKEOFF_ROLL
108.479228,400,101.939389,False,TAKEOFF_ROLL
106.106472,400,103.391564,False,TAKEOFF_ROLL
102.957846,400,104.782887,False,TAKEOFF_ROLL
106.84555,400,106.169362,False,TAKEOFF_ROLL
106.409738,400,107.615956,False,TAKEOFF_ROLL
106.362132,400,109.118067,False,TAKEOFF_ROLL
107.024808,400,110.631455,False,TAKEOFF_ROLL
108.82651,400,112.104309,False,TAKEOFF_ROLL
106.423003,400,113.500449,False,TAKEOFF_ROLL
109.463476,400,114.951995,False,TAKEOFF_ROLL
105.271332,400,116.352829,False,TAKEOFF_ROLL
107.039282,400,117.744752,False,TAKEOFF_ROLL
105.575381,400,119.135613,False,TAKEOFF_ROLL
106.296885,400,120.544055,False,TAKEOFF_ROLL
105.257735,400,121.935461,False,TAKEOFF_ROLL
107.3692,400,123.328178,False,TAKEOFF_ROLL
109.913721,400,124.723643,False,TAKEOFF_ROLL
107.37437,400,126.114531,False,TAKEOFF_ROLL
105.265554,400,127.522368,False,TAKEOFF_ROLL
104.786708,400,128.915314,False,TAKEOFF_ROLL
108.304069,400,130.353779,False,TAKEOFF_ROLL
104.137576,400,131.839951,False,TAKEOFF_ROLL
104.664062,400,133.269225,False,TAKEOFF_ROLL
103.589559,400,134.661726,False,TAKEOFF_ROLL
104.751428,400,136.144076,False,TAKEOFF_ROLL
104.468977,400,137.535914,False,TAKEOFF_ROLL
101.504293,400,138.925236,False,TAKEOFF_ROLL
106.416139,400,140.318646,False,TAKEOFF_ROLL
104.595405,400,141.706856,False,TAKEOFF_ROLL
105.119155,400,143.09916,False,TAKEOFF_ROLL
106.285373,400,144.495571,False,TAKEOFF_ROLL
104.693607,400,145.889689,False,TAKEOFF_ROLL
105.469697,400,147.283413,False,TAKEOFF_ROLL
107.402426,400,148.673189,False,TAKEOFF_ROLL
105.327222,400,150.064897,False,TAKEOFF_ROLL
108.307044,400,151.456668,False,TAKEOFF_ROLL
106.076862,400,152.846589,False,TAKEOFF_ROLL
112.273325,400,154.292089,False,TAKEOFF_ROLL
115.047453,400,155.684268,False,TAKEOFF_ROLL
112.621421,400,157.074913,False,TAKEOFF_ROLL
113.986428,400,158.465858,False,TAKEOFF_ROLL
112.787261,400,159.873424,False,TAKEOFF_ROLL
114.424358,400,161.262159,False,TAKEOFF_ROLL
111.861157,400,162.65474,False,TAKEOFF_ROLL
112.585807,400,164.043325,False,TAKEOFF_ROLL
111.31461,400,165.434472,False,TAKEOFF_ROLL
112.591763,400,166.862302,False,TAKEOFF_ROLL
106.23587,400,168.293457,False,TAKEOFF_ROLL
107.467598,400,169.865855,False,TAKEOFF_ROLL
105.95388,400,171.452282,False,TAKEOFF_ROLL
101.046978,400,173.126182,False,TAKEOFF_ROLL
104.272974,400,174.6268,False,TAKEOFF_ROLL
105.679322,400,176.029673,False,TAKEOFF_ROLL
107.054872,400,177.42999,False,TAKEOFF_ROLL
102.630432,400,178.833104,False,TAKEOFF_ROLL
109.882935,400,180.231855,False,TAKEOFF_ROLL
110.043693,400,181.632202,False,TAKEOFF_ROLL
106.595937,400,183.031413,False,TAKEOFF_ROLL
111.221467,400,184.430192,False,TAKEOFF_ROLL
112.191659,400,185.84303,False,TAKEOFF_ROLL
114.830343,400,187.243216,False,TAKEOFF_ROLL
113.266541,400,188.64504,False,TAKEOFF_ROLL
120.024747,400,190.045296,False,TAKEOFF_ROLL
113.681631,400,191.446899,False,TAKEOFF_ROLL
112.606423,400,192.848703,False,TAKEOFF_ROLL
116.041863,400,194.249816,False,TAKEOFF_ROLL
113.011289,400,195.652876,False,TAKEOFF_ROLL
113.058498,400,197.055374,False,TAKEOFF_ROLL
121.27181,400,198.511568,False,TAKEOFF_ROLL
111.564513,400,199.91453,False,TAKEOFF_ROLL
123.275528,400,201.331936,False,TAKEOFF_ROLL
122.377892,400,202.762555,False,TAKEOFF_ROLL
115.401744,400,204.163568,False,TAKEOFF_ROLL
124.258324,400,205.564589,False,TAKEOFF_ROLL
124.961434,400,206.964731,False,TAKEOFF_ROLL
119.921986,400,208.361301,False,TAKEOFF_ROLL
123.127358,400,209.761893,False,TAKEOFF_ROLL
123.740949,400,211.161049,False,TAKEOFF_ROLL
123.729324,400,212.561146,False,TAKEOFF_ROLL
122.742464,400,213.994658,False,TAKEOFF_ROLL
122.283568,400,215.594669,False,TAKEOFF_ROLL
126.390096,400,217.021963,False,TAKEOFF_ROLL
124.729687,400,218.560027,False,TAKEOFF_ROLL
119.04979,400,220.021013,False,TAKEOFF_ROLL
123.879318,400,221.527898,False,TAKEOFF_ROLL
123.448482,400,223.111097,False,TAKEOFF_ROLL
124.042727,400,224.63924,False,TAKEOFF_ROLL
124.775286,400,226.04262,False,TAKEOFF_ROLL
122.866772,400,227.445041,False,TAKEOFF_ROLL
125.523009,400,228.851429,False,TAKEOFF_ROLL
125.072481,400,230.257142,False,TAKEOFF_ROLL
126.191164,400,231.659632,False,TAKEOFF_ROLL
125.546098,400,233.067032,False,TAKEOFF_ROLL
124.815987,400,234.470337,False,TAKEOFF_ROLL
125.293851,400,235.874834,False,TAKEOFF_ROLL
125.475331,400,237.278946,False,TAKEOFF_ROLL
124.631358,400,238.694408,False,TAKEOFF_ROLL
121.872671,400,240.104513,False,TAKEOFF_ROLL
122.62894,400,241.517241,False,TAKEOFF_ROLL
124.058782,400,242.923692,False,TAKEOFF_ROLL
126.198155,400,244.33397,False,TAKEOFF_ROLL
124.346657,400,245.743117,False,TAKEOFF_ROLL
127.969837,400,247.153922,False,TAKEOFF_ROLL
125.610125,400,248.562012,False,TAKEOFF_ROLL
126.305917,400,249.967106,False,TAKEOFF_ROLL
125.716259,400,251.371887,False,TAKEOFF_ROLL
126.397471,400,252.812573,False,TAKEOFF_ROLL
124.98832,400,254.218068,False,TAKEOFF_ROLL
126.712009,400,255.629014,False,TAKEOFF_ROLL
125.469254,400,257.034244,False,TAKEOFF_ROLL
125.018856,400,258.529963,False,TAKEOFF_ROLL
124.892754,400,260.11481,False,TAKEOFF_ROLL
126.2802,400,261.619455,False,TAKEOFF_ROLL
123.438045,400,263.09754,False,TAKEOFF_ROLL
121.476166,400,264.604543,False,TAKEOFF_ROLL
121.044207,400,266.049678,False,TAKEOFF_ROLL
124.934551,400,267.641955,False,TAKEOFF_ROLL
125.602759,400,269.118885,False,TAKEOFF_ROLL
121.098795,400,270.568742,False,TAKEOFF_ROLL
12.846628,92,270.897277,False,INITIAL_CLIMB
27.464034,105,271.280296,False,INITIAL_CLIMB
26.87109,95,271.660717,False,INITIAL_CLIMB
23.602631,88,272.122927,False,INITIAL_CLIMB
27.459199,113,272.581626,False,INITIAL_CLIMB
110.958503,400,274.09933,False,TAKEOFF_ROLL
18.756415,90,274.436993,False,INITIAL_CLIMB
21.4401,90,274.774017,False,INITIAL_CLIMB
44.866426,120,275.227092,False,INITIAL_CLIMB
34.00074,99,275.597482,False,INITIAL_CLIMB
32.724783,110,275.992644,False,INITIAL_CLIMB
32.711772,113,276.394024,False,INITIAL_CLIMB
33.877957,106,276.774132,False,INITIAL_CLIMB
32.702176,116,277.188858,False,INITIAL_CLIMB
28.455786,113,277.612083,False,INITIAL_CLIMB
27.719164,116,278.029645,False,INITIAL_CLIMB
25.988947,116,278.485097,False,INITIAL_CLIMB
29.069802,112,278.893874,False,INITIAL_CLIMB
18.381525,184,279.554535,False,TAKEOFF_ROLL
22.32182,126,279.999965,False,INITIAL_CLIMB
20.185854,125,280.440444,False,INITIAL_CLIMB
18.887473,112,280.844935,False,INITIAL_CLIMB
18.789215,120,281.270315,False,INITIAL_CLIMB
16.084446,117,281.684856,False,INITIAL_CLIMB
28.622504,126,282.141678,False,INITIAL_CLIMB
28.561844,110,282.529323,True,INITIAL_CLIMB
22.032198,115,282.935224,False,INITIAL_CLIMB
18.982938,120,283.359968,False,INITIAL_CLIMB
19.971741,126,283.805222,False,INITIAL_CLIMB
22.49025,106,284.17706,True,INITIAL_CLIMB
16.724345,148,284.698935,False,INITIAL_CLIMB
17.768329,129,285.182421,False,INITIAL_CLIMB
18.826012,115,285.589259,False,INITIAL_CLIMB
20.538836,118,286.005006,False,INITIAL_CLIMB
19.672923,116,286.449309,False,INITIAL_CLIMB
22.009471,122,286.884299,False,INITIAL_CLIMB
18.21083,130,287.343088,False,INITIAL_CLIMB
23.415535,120,287.777345,False,INITIAL_CLIMB
20.276739,132,288.250368,False,INITIAL_CLIMB
21.412175,118,288.667904,False,INITIAL_CLIMB
24.751784,118,289.084026,False,INITIAL_CLIMB
23.378962,111,289.474874,False,INITIAL_CLIMB
22.548612,123,289.923922,False,INITIAL_CLIMB
22.912037,121,290.375658,False,INITIAL_CLIMB
22.831493,131,290.877208,False,INITIAL_CLIMB
26.188931,121,291.303599,False,INITIAL_CLIMB
25.400745,124,291.740961,False,INITIAL_CLIMB
25.047005,145,292.252044,False,INITIAL_CLIMB
66.546025,400,293.68011,False,TAKEOFF_ROLL
21.453845,136,294.198479,False,INITIAL_CLIMB
22.274406,129,294.672294,False,INITIAL_CLIMB
19.981808,144,295.17977,False,INITIAL_CLIMB
20.975458,147,295.720082,False,INITIAL_CLIMB
27.471259,262,296.644669,False,INITIAL_CLIMB
87.43482,400,298.133923,False,TAKEOFF_ROLL
97.37422,400,299.576732,False,TAKEOFF_ROLL
102.020349,400,300.976537,False,TAKEOFF_ROLL
88.879047,389,302.364201,False,INITIAL_CLIMB
112.888815,400,303.7742,False,INITIAL_CLIMB
120.645234,400,305.398516,False,INITIAL_CLIMB
134.381197,400,307.035584,False,INITIAL_CLIMB
146.359922,400,308.488562,False,INITIAL_CLIMB
138.932331,400,309.887674,False,INITIAL_CLIMB
143.809198,400,311.324465,False,INITIAL_CLIMB
148.75106,400,312.77249,False,INITIAL_CLIMB
144.300719,400,314.347942,False,INITIAL_CLIMB
150.300988,400,315.876013,False,INITIAL_CLIMB
151.601835,400,317.357975,False,INITIAL_CLIMB
148.135246,400,318.828118,False,INITIAL_CLIMB
149.284695,400,320.326588,False,INITIAL_CLIMB
142.957478,400,321.84597,False,INITIAL_CLIMB
143.792987,400,323.282748,False,INITIAL_CLIMB
132.994872,400,324.729649,False,INITIAL_CLIMB
142.371469,400,326.210174,False,INITIAL_CLIMB
144.408342,400,327.604241,False,INITIAL_CLIMB
149.715271,400,329.000219,False,INITIAL_CLIMB
144.932429,400,330.39759,False,INITIAL_CLIMB
102.983579,400,331.793516,False,TAKEOFF_ROLL
110.715575,400,333.203448,False,TAKEOFF_ROLL
98.07454,400,334.6031,False,TAKEOFF_ROLL
147.776009,400,336.005413,False,INITIAL_CLIMB
103.357606,400,337.419259,False,TAKEOFF_ROLL
98.77846,400,338.95685,False,TAKEOFF_ROLL
100.551314,400,340.346398,False,TAKEOFF_ROLL
112.37437,400,341.741386,False,TAKEOFF_ROLL
114.203165,400,343.132711,False,TAKEOFF_ROLL
123.736902,400,344.540109,False,TAKEOFF_ROLL
126.823689,400,346.073968,False,TAKEOFF_ROLL
124.519583,400,347.482841,False,TAKEOFF_ROLL
121.661138,400,348.885781,False,TAKEOFF_ROLL
126.449067,400,350.287608,False,TAKEOFF_ROLL
124.16751,400,351.69108,False,TAKEOFF_ROLL
123.446776,400,353.097507,False,TAKEOFF_ROLL
119.136285,400,354.50143,False,TAKEOFF_ROLL
123.998323,400,355.961733,False,TAKEOFF_ROLL
122.407185,400,357.369453,False,TAKEOFF_ROLL
121.171107,400,358.77497,False,TAKEOFF_ROLL
126.221415,400,360.178484,False,TAKEOFF_ROLL
129.509592,400,361.581826,False,TAKEOFF_ROLL
120.595331,400,362.985781,False,TAKEOFF_ROLL
118.213748,400,364.390162,False,TAKEOFF_ROLL
123.636953,400,365.794052,False,TAKEOFF_ROLL
122.717778,400,367.198144,False,TAKEOFF_ROLL
126.941577,400,368.602878,False,TAKEOFF_ROLL
118.727601,400,370.004146,False,TAKEOFF_ROLL
120.0392,400,371.421683,False,TAKEOFF_ROLL
123.544784,400,372.826859,False,TAKEOFF_ROLL
123.744046,400,374.231237,False,TAKEOFF_ROLL
126.864877,400,375.637453,False,TAKEOFF_ROLL
129.076416,400,377.042142,False,TAKEOFF_ROLL
124.454937,400,378.463229,False,TAKEOFF_ROLL
125.573341,400,379.86646,False,TAKEOFF_ROLL
128.669621,400,381.270372,False,TAKEOFF_ROLL
128.802368,400,382.698681,False,TAKEOFF_ROLL
129.065045,400,384.183173,False,TAKEOFF_ROLL
127.52669,400,385.602756,False,TAKEOFF_ROLL
122.717283,400,387.271212,False,TAKEOFF_ROLL
127.072279,400,388.808104,False,TAKEOFF_ROLL
124.245809,400,390.259419,False,TAKEOFF_ROLL
121.330076,400,391.760807,False,TAKEOFF_ROLL
121.359075,400,393.247393,False,TAKEOFF_ROLL
118.39131,400,394.690613,False,TAKEOFF_ROLL
122.453331,400,396.14532,False,TAKEOFF_ROLL
118.236873,400,397.548216,False,TAKEOFF_ROLL
120.492476,400,398.967841,False,TAKEOFF_ROLL
117.863735,400,400.369106,False,TAKEOFF_ROLL
115.077852,400,401.766675,False,TAKEOFF_ROLL
113.729711,400,403.265974,False,TAKEOFF_ROLL
108.653512,293,404.33277,True,INITIAL_CLIMB
107.795167,376,405.683334,True,INITIAL_CLIMB
108.438789,400,407.087118,False,TAKEOFF_ROLL
109.001454,400,408.485528,False,TAKEOFF_ROLL
114.107453,400,409.885055,False,TAKEOFF_ROLL
103.433624,400,411.272556,False,TAKEOFF_ROLL
83.563331,265,412.193495,False,INITIAL_CLIMB
60.951936,124,412.623244,False,INITIAL_CLIMB
111.311169,299,413.661104,True,INITIAL_CLIMB
79.577965,152,414.191025,False,INITIAL_CLIMB
73.279104,141,414.685499,False,INITIAL_CLIMB
73.039641,138,415.183306,False,INITIAL_CLIMB
81.915876,154,415.723314,False,INITIAL_CLIMB
79.532769,154,416.262018,False,INITIAL_CLIMB
72.748021,143,416.81203,False,INITIAL_CLIMB
76.21319,151,417.341893,False,INITIAL_CLIMB
13.262877,63,417.563924,False,INITIAL_CLIMB
73.835126,145,418.071754,False,INITIAL_CLIMB
10.472882,58,418.27504,False,INITIAL_CLIMB
13.223977,60,418.486716,False,INITIAL_CLIMB
17.558154,69,418.728339,False,INITIAL_CLIMB
17.408304,67,418.962693,False,INITIAL_CLIMB
58.247931,134,419.432648,True,INITIAL_CLIMB
12.874703,60,419.642148,False,INITIAL_CLIMB
60.10296,136,420.116865,True,INITIAL_CLIMB
74.274889,153,420.651371,False,INITIAL_CLIMB
78.563157,155,421.192088,False,INITIAL_CLIMB
78.495402,154,421.729967,False,INITIAL_CLIMB
3.280474,45,421.887333,False,INITIAL_CLIMB
11.704895,59,422.092879,False,INITIAL_CLIMB
7.463595,51,422.271182,False,INITIAL_CLIMB
7.722601,55,422.463275,False,INITIAL_CLIMB
64.045584,142,422.958813,False,INITIAL_CLIMB
-0.290594,41,423.102827,False,INITIAL_CLIMB
9.824918,57,423.302302,False,INITIAL_CLIMB
10.019259,55,423.494458,False,INITIAL_CLIMB
70.417904,142,423.989192,False,INITIAL_CLIMB
89.595362,161,424.549998,False,INITIAL_CLIMB
63.457542,125,424.986176,True,INITIAL_CLIMB
82.148342,154,425.523514,False,INITIAL_CLIMB
80.580031,153,426.056802,False,INITIAL_CLIMB
76.21524,144,426.559606,False,INITIAL_CLIMB
76.601335,156,427.106249,False,INITIAL_CLIMB
80.328204,157,427.65422,False,INITIAL_CLIMB
78.564245,151,428.181727,False,INITIAL_CLIMB
79.423523,153,428.715783,False,INITIAL_CLIMB
80.084578,194,429.39178,True,INITIAL_CLIMB
79.791732,179,430.016478,True,INITIAL_CLIMB
79.107048,181,430.646757,True,INITIAL_CLIMB
68.300472,131,431.105756,True,INITIAL_CLIMB
63.087436,123,431.535921,True,INITIAL_CLIMB
74.613342,175,432.147847,True,INITIAL_CLIMB
